"abityé"	"abitje"	"habituer"
"abiyé"	"abije"	"habiller"
"abizé"	"abize"	"abuser"
"aboli"	"aboli"	"abolir"
"aboné"	"abone"	"abonner"
"abouti"	"abuti"	"bout > aboutir"
"abréjé"	"abʀeʒe"	"abréger"
"acharné"	"aʃaʀne"	"chair >  acharner"
"achté"	"aʃte"	"acheter"
"adapté"	"adapte"	"adapter"
"adisyonné"	"adisjɔ̃ne"	"addition > additionner"
"admèt"	"admεt"	"admettre"
"admiré"	"admiʀe"	"admirer"
"adòpté"	"adɔpte"	"adopter"
"adòpté 2"	"adɔpte"	"adopter"
"adoré"	"adoʀe"	"adorer"
"adosé"	"adose"	"dos > adosser"
"adrésé"	"adrese"	"adresser"
"afalé"	"afale"	"affaler"
"afiché 1"	"afiʃe"	"afficher"
"afiché 2"	"afiʃe"	"affiche > afficher"
"afolé"	"afole"	"affoler"
"agasé"	"agase"	"agacer"
"agrafé"	"agʀafe"	"agrafe > agrafer"
"agrandi"	"agʀãdi"	"grand  > agrandir"
"agravé"	"agʀave"	"aggraver"
"agripé"	"agʀipe"	"agripper"
"ajansé"	"aʒãse"	"agencer"
"aji"	"aʒi"	"agir"
"ajisté"	"aʒiste"	"juste  >  ajuster"
"ajouté"	"aʒute"	"ajouter"
"akablé"	"akable"	"accabler"
"akaparé"	"akapaʀe"	"accaparer"
"akizé"	"akize"	"accuser"
"akomodé"	"akomode"	"accommoder"
"akonpagné"	"akɔ̃paɲe"	"accompagner"
"akòrdé"	"akɔʀde"	"accorder"
"akòrdé 2"	"akɔʀde"	"accorder  > accord"
"akoré cf koré"	"akore"	"xxx"
"akòsté"	"akɔste"	"accoster"
"akouché"	"akuʃe"	"accoucher"
"akoudé"	"akude"	"coude >  accouder"
"akséléré"	"akseleʀe"	"accélérer"
"aksyonné"	"aksjɔ̃ne"	"action  > actionner"
"aktivé"	"aktive"	"activer"
"akwè"	"akwε"	"accroire"
"akwoupi"	"akwupi"	"croupe  > accroupir"
"alé"	"ale"	"aller"
"alé 2"	"ale"	"aller"
"alé vini"	"alevini"	"aller-venir"
"alé-vini"	"alevini"	"aller-venir"
"aligné"	"aliɲe"	"aligner"
