id_lexeme	lexeme	ori_lexeme	postag	ori_postag
73781	ab	glaff	Adj	glaff
73782	ab	glaff	Nm	glaff
73783	ab irato	dimoc	Adj	dimoc
73784	ab irato	dimoc	Adv	dimoc
73785	ab-	dimoc	Prep	dimoc
73786	aba	glaff	Nm	glaff
73787	ababouiné	glaff	Adj	glaff
73788	abaca	glaff	Nm	glaff
73789	abacos	glaff	Nm	glaff
73790	abacost	glaff	Nm	glaff
73791	abacot	glaff	Nm	glaff
73792	abactérien	glaff	Adj	glaff
73793	abactériienne	dimoc	Adj	dimoc
73794	abactériémique	glaff	Adj	glaff
73795	abacule	glaff	Nm	glaff
73796	abacus	glaff	Nm	glaff
73797	abader	glaff	V	glaff
73798	abadi	glaff	Nm	glaff
73799	abadie	glaff	Nf	glaff
73800	abadis	glaff	Nm	glaff
73801	abadèche	glaff	Nf	glaff
73802	abaga	glaff	Nm	glaff
73803	abainvillois	glaff	Adj	glaff
73804	abainvillois	glaff	Nm	glaff
73805	abainvilloise	dimoc	Adj	dimoc
73806	abainvilloise	glaff	Nf	glaff
73807	abaissable	glaff	Adj	glaff
73808	abaissant	glaff	Adj	glaff
73809	abaisse	glaff	Nf	glaff
73810	abaisse-langue	glaff	Nm	glaff
73811	abaissement	demonette	Nm	demonette
73812	abaisser	demonette	V	demonette
73813	abaisseur	glaff	Adj	glaff
73814	abaisseur	demonette	Nm	demonette
73815	abaisseuse	glaff	Nf	glaff
73816	abaissé	glaff	Adj	glaff
73817	abaissée	glaff	Nf	glaff
73818	abait	glaff	Nm	glaff
73819	abajoue	glaff	Nf	glaff
73820	abajour	glaff	Nm	glaff
73821	abaknon	glaff	Adj	glaff
73822	abaknon	glaff	Nm	glaff
73823	abakwariga	glaff	Nm	glaff
73824	abaler	glaff	V	glaff
73825	abaliénation	glaff	Nf	glaff
73826	abaliéner	glaff	V	glaff
73827	abaliété	glaff	Nf	glaff
73828	abaloger	glaff	V	glaff
73829	abalone	glaff	Nm	glaff
73830	abalourdir	demonette	V	demonette
73831	abalourdissement	demonette	Nm	demonette
73832	abamectin	glaff	Nm	glaff
73833	abamectine	glaff	Nf	glaff
73834	abancourtois	glaff	Adj	glaff
73835	abancourtois	dimoc	Nm	dimoc
73836	abancourtoise	dimoc	Adj	dimoc
73837	abancourtoise	dimoc	Nf	dimoc
73838	abander	glaff	V	glaff
73839	abandogiciel	glaff	Nm	glaff
73840	abandogiciels	glawi	Nmp	glawi
73841	abandon	demonette	Nm	demonette
73842	abandonnable	glaff	Adj	glaff
73843	abandonnataire	glaff	Nf	glaff
73844	abandonnataire	glaff	Nm	glaff
73845	abandonnateur	demonette	Nm	demonette
73846	abandonnatrice	glaff	Nf	glaff
73847	abandonnement	demonette	Nm	demonette
73848	abandonner	demonette	V	demonette
73849	abandonneur	demonette	Nm	demonette
73850	abandonneuse	demonette	Nf	demonette
73851	abandonnique	glaff	Adj	glaff
73852	abandonnique	glaff	Nf	glaff
73853	abandonnique	glaff	Nm	glaff
73854	abandonnisme	dimoc	Nm	dimoc
73855	abandonné	glaff	Adj	glaff
73856	abandonné	glaff	Nm	glaff
73857	abandonware	glaff	Nm	glaff
73858	abandouner	glaff	V	glaff
73859	abanicampien	dimoc	Adj	dimoc
73860	abanicampien	dimoc	Nm	dimoc
73861	abanicampiienne	dimoc	Adj	dimoc
73862	abanicampiienne	dimoc	Nf	dimoc
73863	abannation	glaff	Nm	glaff
73864	abanuir	glaff	V	glaff
73865	abaque	glaff	Nm	glaff
73866	abar	glaff	Nm	glaff
73867	abarca	glaff	Nf	glaff
73868	abarrejadis	glaff	Nm	glaff
73869	abarticulaire	glaff	Adj	glaff
73870	abarticulation	dimoc	Nf	dimoc
73871	abasie	glaff	Nf	glaff
73872	abasique	denom	Adj	denom
73873	abasourdi	glaff	Adj	glaff
73874	abasourdir	demonette	V	demonette
73875	abasourdissant	glaff	Adj	glaff
73876	abasourdissement	demonette	Nm	demonette
73877	abat	glaff	Nm	glaff
73878	abat-carre	glaff	Nm	glaff
73879	abat-carrer	glaff	V	glaff
73880	abat-chauvée	glaff	Nf	glaff
73881	abat-faim	glaff	Nm	glaff
73882	abat-foin	glaff	Nm	glaff
73883	abat-foins	glawi	Nmp	glawi
73884	abat-jour	glaff	Nm	glaff
73885	abat-son	glaff	Nm	glaff
73886	abat-sons	dimoc	Nm	dimoc
73887	abat-sons	glawi	Nmp	glawi
73888	abat-vent	glaff	Nm	glaff
73889	abat-vents	glawi	Nmp	glawi
73890	abat-voix	glaff	Nm	glaff
73891	abatage	demonette	Nm	demonette
73892	abatant	glaff	Nm	glaff
73893	abatardissement	glaff	Nm	glaff
73894	abate	glaff	Nf	glaff
73895	abatellement	glaff	Nm	glaff
73896	abathudois	glaff	Adj	glaff
73897	abathudois	dimoc	Nm	dimoc
73898	abathudoise	dimoc	Adj	dimoc
73899	abathudoise	dimoc	Nf	dimoc
73900	abatinois	glaff	Adj	glaff
73901	abatinois	dimoc	Nm	dimoc
73902	abatinoise	dimoc	Adj	dimoc
73903	abatinoise	dimoc	Nf	dimoc
73904	abatis	glaff	Nm	glaff
73905	abatre	demonette	V	demonette
73906	abattable	glaff	Adj	glaff
73907	abattables	glawi	Nfp	glawi
73908	abattables	glawi	Nmp	glawi
73909	abattage	demonette	Nm	demonette
73910	abattant	glaff	Adj	glaff
73911	abattant	glaff	Nm	glaff
73912	abattement	demonette	Nm	demonette
73913	abatteur	demonette	Nm	demonette
73914	abatteuse	demonette	Nf	demonette
73915	abattien	glaff	Adj	glaff
73916	abattien	glaff	Nm	glaff
73917	abattiienne	dimoc	Adj	dimoc
73918	abattiienne	dimoc	Nf	dimoc
73919	abattis	glaff	Nm	glaff
73920	abattoir	glaff	Nm	glaff
73921	abattre	demonette	V	demonette
73922	abattu	glaff	Adj	glaff
73923	abatture	demonette	Nf	demonette
73924	abattée	glaff	Nf	glaff
73925	abatutois	glaff	Adj	glaff
73926	abatutois	dimoc	Nm	dimoc
73927	abatutoise	dimoc	Adj	dimoc
73928	abatutoise	dimoc	Nf	dimoc
73929	abatée	glaff	Nf	glaff
73930	abau	glaff	Nm	glaff
73931	abaucourtois	dimoc	Adj	dimoc
73932	abaucourtois	dimoc	Nm	dimoc
73933	abaucourtoise	dimoc	Adj	dimoc
73934	abaucourtoise	dimoc	Nf	dimoc
73935	abave	glaff	Nm	glaff
73936	abaxial	glaff	Adj	glaff
73937	abaya	glaff	Nf	glaff
73938	abayance	glaff	Nf	glaff
73939	abayer	glaff	V	glaff
73940	abaza	glaff	Nm	glaff
73941	abaïer	glaff	V	glaff
73942	abbanais	glaff	Adj	glaff
73943	abbanais	dimoc	Nm	dimoc
73944	abbanaise	dimoc	Adj	dimoc
73945	abbanaise	dimoc	Nf	dimoc
73946	abbarois	glaff	Adj	glaff
73947	abbarois	dimoc	Nm	dimoc
73948	abbaroise	dimoc	Adj	dimoc
73949	abbaroise	dimoc	Nf	dimoc
73950	abbasside	glaff	Adj	glaff
73951	abbatial	glaff	Adj	glaff
73952	abbatiale	glaff	Nf	glaff
73953	abbatialité	mordan	Nf	mordan
73954	abbatiat	glaff	Nm	glaff
73955	abbatien	glaff	Adj	glaff
73956	abbatien	dimoc	Nm	dimoc
73957	abbatiienne	dimoc	Adj	dimoc
73958	abbatiienne	dimoc	Nf	dimoc
73959	abbattage	demonette	Nm	demonette
73960	abbattement	demonette	Nm	demonette
73961	abbattre	demonette	V	demonette
73962	abbaye	glaff	Nf	glaff
73963	abbecourtois	glaff	Adj	glaff
73964	abbecourtois	dimoc	Nm	dimoc
73965	abbecourtoise	dimoc	Adj	dimoc
73966	abbecourtoise	glaff	Nf	glaff
73967	abbecquer	glaff	V	glaff
73968	abbenanais	glaff	Adj	glaff
73969	abbenanais	dimoc	Nm	dimoc
73970	abbenanaise	dimoc	Adj	dimoc
73971	abbenanaise	dimoc	Nf	dimoc
73972	abbesse	glaff	Nf	glaff
73973	abbevillien	glaff	Adj	glaff
73974	abbevillien	glaff	Nm	glaff
73975	abbevilliienne	dimoc	Adj	dimoc
73976	abbevilliienne	dimoc	Nf	dimoc
73977	abbevillois	glaff	Adj	glaff
73978	abbevillois	glaff	Nm	glaff
73979	abbevilloise	dimoc	Adj	dimoc
73980	abbevilloise	dimoc	Nf	dimoc
