Salammbô	NAM	<unknown>
Chapitre	VER:pres	chapitrer
1	NUM	@card@
LE	DET:ART	le
FESTIN	NOM	festin
C	NUM	C
était	VER:impf	être
à	PRP	à
Mégara	NAM	<unknown>
faubourg	NOM	faubourg
de	PRP	de
Carthage	NAM	Carthage
dans	PRP	dans
les	DET:ART	le
jardins	NOM	jardin
d	VER:futu	<unknown>
Hamilcar	NAM	Hamilcar
Les	DET:ART	le
soldats	NOM	soldat
qu	ADJ	<unknown>
il	PRO:PER	il
avait	VER:impf	avoir
commandés	VER:pper	commander
en	PRP	en
Sicile	NAM	Sicile
se	PRO:PER	se
donnaient	VER:impf	donner
un	DET:ART	un
grand	ADJ	grand
festin	NOM	festin
pour	PRP	pour
célébrer	VER:infi	célébrer
le	DET:ART	le
jour	NOM	jour
anniversaire	ADJ	anniversaire
de	PRP	de
la	DET:ART	le
bataille	NOM	bataille
d	VER:futu	<unknown>
Eryx	NAM	<unknown>
et	KON	et
comme	ADV	comme
le	DET:ART	le
maître	NOM	maître
était	VER:impf	être
absent	ADJ	absent
et	KON	et
qu	VER:pper	<unknown>
ils	PRO:PER	il
se	PRO:PER	se
trouvaient	VER:impf	trouver
nombreux	ADJ	nombreux
ils	PRO:PER	il
mangeaient	VER:impf	manger
et	KON	et
ils	PRO:PER	il
buvaient	VER:impf	boire
en	PRP	en
pleine	ADJ	plein
liberté	NOM	liberté
Les	DET:ART	le
capitaines	NOM	capitaine
portant	VER:ppre	porter
des	PRP:det	du
cothurnes	NOM	cothurne
de	PRP	de
bronze	NOM	bronze
s	ADJ	<unknown>
étaient	VER:impf	être
placés	VER:pper	placer
dans	PRP	dans
le	DET:ART	le
chemin	NOM	chemin
du	PRP:det	du
milieu	NOM	milieu
sous	PRP	sous
un	DET:ART	un
voile	NOM	voile
de	PRP	de
pourpre	NOM	pourpre
à	PRP	à
franges	NOM	frange
d	ADJ	<unknown>
or	NOM	or
qui	PRO:REL	qui
s	VER:subi	<unknown>
étendait	VER:impf	étendre
depuis	PRP	depuis
le	DET:ART	le
mur	NOM	mur
des	PRP:det	du
écuries	NOM	écurie
jusqu	NOM	<unknown>
à	PRP	à
la	DET:ART	le
première	NUM	premier
terrasse	NOM	terrasse
du	PRP:det	du
palais	NOM	palais
le	DET:ART	le
commun	NOM	commun
des	PRP:det	du
soldats	NOM	soldat
était	VER:impf	être
répandu	VER:pper	répandre
sous	PRP	sous
les	DET:ART	le
arbres	NOM	arbre
où	PRO:REL	où
l	VER:subi	<unknown>
on	PRO:PER	on
distinguait	VER:impf	distinguer
quantité	NOM	quantité
de	PRP	de
bâtiments	NOM	bâtiment
à	PRP	à
toit	NOM	toit
plat	ADJ	plat
pressoirs	NOM	pressoir
celliers	NOM	cellier
magasins	NOM	magasin
boulangeries	NOM	boulangerie
et	KON	et
arsenaux	NOM	arsenal
avec	PRP	avec
une	DET:ART	un
cour	NOM	cour
pour	PRP	pour
les	DET:ART	le
éléphants	NOM	éléphant
des	PRP:det	du
fosses	NOM	fosse
pour	PRP	pour
les	DET:ART	le
bêtes	NOM	bête
féroces	ADJ	féroce
une	DET:ART	un
prison	NOM	prison
pour	PRP	pour
les	DET:ART	le
esclaves	NOM	esclave
Des	PRP:det	du
figuiers	NOM	figuier
entouraient	VER:impf	entourer
les	DET:ART	le
cuisines	NOM	cuisine
un	DET:ART	un
bois	NOM	bois
de	PRP	de
sycomores	NOM	sycomore
se	PRO:PER	se
prolongeait	VER:impf	prolonger
jusqu	NOM	<unknown>
à	PRP	à
des	PRP:det	du
masses	NOM	masse
de	PRP	de
verdure	NOM	verdure
où	PRO:REL	où
des	PRP:det	du
grenades	NOM	grenade
resplendissaient	VER:impf	resplendir
parmi	PRP	parmi
les	DET:ART	le
touffes	NOM	touffe
blanches	ADJ	blanc
des	PRP:det	du
cotonniers	NOM	cotonnier
des	PRP:det	du
vignes	NOM	vigne
chargées	VER:pper	charger
de	PRP	de
grappes	NOM	grappe
montaient	VER:impf	monter
dans	PRP	dans
le	DET:ART	le
branchage	NOM	branchage
des	PRP:det	du
pins	NOM	pin
un	DET:ART	un
champ	NOM	champ
de	PRP	de
roses	ADJ	rose
s	NOM	<unknown>
épanouissait	VER:impf	épanouir
sous	PRP	sous
des	PRP:det	du
platanes	NOM	platane
de	PRP	de
place	NOM	place
en	PRP	en
place	NOM	place
sur	PRP	sur
des	PRP:det	du
gazons	NOM	gazon
se	PRO:PER	se
balançaient	VER:impf	balancer
des	PRP:det	du
lis	NOM	li|lis
un	DET:ART	un
sable	NOM	sable
noir	ADJ	noir
mêlé	VER:pper	mêler
à	PRP	à
de	PRP	de
la	DET:ART	le
poudre	NOM	poudre
de	PRP	de
corail	NOM	corail
parsemait	VER:impf	parsemer
les	DET:ART	le
sentiers	NOM	sentier
et	KON	et
au	PRP:det	au
milieu	NOM	milieu
l	ADJ	<unknown>
