,released,year,age,sex,employed,citizen,checks
1,Yes,2002,21,Male,Yes,Yes,3
2,No,1999,17,Male,Yes,Yes,3
3,Yes,2000,24,Male,Yes,Yes,3
4,No,2000,46,Male,Yes,Yes,1
5,Yes,1999,27,Female,Yes,Yes,1
6,Yes,1998,16,Female,Yes,Yes,0
7,Yes,1999,40,Male,No,Yes,0
8,Yes,1998,34,Female,Yes,Yes,1
9,Yes,2000,23,Male,Yes,Yes,4
10,Yes,2001,30,Male,Yes,Yes,3
11,Yes,1999,18,Male,Yes,No,0
12,Yes,2000,18,Male,Yes,Yes,3
13,Yes,2000,17,Male,Yes,Yes,1
14,Yes,1997,42,Male,Yes,Yes,0
15,Yes,1999,26,Male,No,Yes,2
16,Yes,2001,25,Male,No,Yes,3
17,No,2001,45,Male,No,Yes,4
18,No,2002,20,Male,Yes,Yes,5
19,Yes,2001,32,Female,No,Yes,3
20,No,1998,14,Male,Yes,Yes,0
21,Yes,1998,18,Male,Yes,No,0
22,Yes,2001,15,Male,No,Yes,2
23,Yes,2001,16,Male,Yes,Yes,0
24,No,2000,27,Female,No,Yes,3
25,Yes,2000,49,Male,Yes,Yes,0
26,Yes,2001,21,Male,No,Yes,3
27,Yes,2001,29,Male,Yes,Yes,3
28,Yes,2000,28,Male,Yes,No,0
29,Yes,2000,19,Male,No,Yes,0
30,Yes,1999,28,Male,Yes,Yes,3
31,Yes,2000,19,Female,Yes,Yes,0
32,Yes,2001,30,Male,Yes,No,3
33,No,2001,15,Male,No,Yes,2
34,No,1999,35,Male,Yes,Yes,3
35,Yes,1998,20,Female,Yes,Yes,0
36,Yes,2001,22,Male,Yes,Yes,0
37,Yes,1998,16,Male,No,No,0
38,Yes,2000,24,Male,Yes,Yes,1
39,No,2000,21,Male,No,No,4
40,No,1998,17,Male,Yes,No,0
41,Yes,2001,27,Male,No,Yes,2
42,Yes,2001,18,Male,Yes,Yes,1
43,Yes,1997,39,Male,Yes,Yes,1
44,Yes,2001,17,Male,Yes,Yes,0
45,Yes,2001,22,Male,Yes,Yes,0
46,No,1997,21,Male,Yes,No,1
47,Yes,2000,20,Male,Yes,Yes,0
48,Yes,1999,17,Male,Yes,Yes,4
49,Yes,1997,26,Female,Yes,Yes,0
50,No,2001,26,Male,Yes,Yes,4
51,Yes,2000,20,Male,Yes,Yes,3
52,Yes,2000,21,Male,Yes,No,3
53,Yes,1997,18,Male,Yes,Yes,4
54,Yes,2000,17,Female,Yes,Yes,0
55,Yes,2001,19,Male,Yes,No,3
56,Yes,2000,18,Male,Yes,Yes,0
