object	distance	v_helio	v_flow	v_cmb
Abell 1367	89.2		6845	
Abell 194	55.9 		5208	
Abell 262	66.7		5091	
Abell 2634	114.9		9142	
Abell 33816	129.8		11436	
Abell 3574	51.6 		4617	
Abell 400	88.4		6983	
Abell 539	102.0 		8648	
Abell S639	59.6 		6577	
Abell S753	49.7 		3973	
Antlia	45.1		2821	
Cancer	74.3		4942	
Cen 30	43.2		4445	
Cen 45	68.2		4408	
Coma	85.8 		7392	
DC 2345-28	102.1 		8708	
Dorado	13.8		1064	
Eridanus	20.7		1627	
ESO 50	39.5		2896	
Fornax	15.0		1372	
GRM 4530	47.4 		4848	
Hydra	58.3		3881	
Hydra I	49.1 		3881	
IC 0429	55.5		3341	
IC 4182	4.49	321		
MDL 59	31.3		2664	
NGC 0300	2	144		
NGC 0708	68.2		4831	
NGC 0925	9.16	553		
NGC 1326A	16.14	1836		
NGC 1365	17.95	1636		
NGC 1425	21.88	1512		
NGC 2090	11.75	931		
NGC 2403	3.22	131		
NGC 2541	11.22	559		
NGC 3031	3.63	-34		
NGC 3198	13.8	662		
NGC 3351	10	778		
NGC 3368	10.52	897		
NGC 3557	38.7		2957	
NGC 3621	6.64	805		
NGC 383	66.6		5326	
NGC 4321	15.21	1571		
NGC 4373	36.3		3118	
NGC 4414	17.7	716		
NGC 4496A	14.86	1730		
NGC 4535	15.78	1961		
NGC 4536	14.93	1804		
NGC 4548	16.22	486		
NGC 4639	21.98	1010		
NGC 4725	12.36	1206		
NGC 4881	102.3		7441	
NGC 507	57.3		5257	
NGC 5193	51.5		3468	
NGC 5253	3.15	404		
NGC 7014	67.3		5061	
NGC 7731	14.72	816		
Pavo 2	50.9		4646	
Pegasus	53.3		3874	
SN1990af	198.6			15055
SN1990O	134.7			9065
SN1990T	158.9			12012
SN1991ag	56.0			4124
SN1991S	238.9			16687
SN1991U	117.1			9801
SN1992ae	274.6			22426
SN1992ag	102.1			7765
SN1992al	58.0			4227
SN1992aq	467.0			30253
SN1992au	262.2			18212
SN1992bc	88.6			5935
SN1992bg	151.4			10696
SN1992bh	202.5			13518
SN1992bk	235.9			17371
SN1992bl	176.8			12871
SN1992bo	77.9			5434
SN1992bp	309.5			23646
SN1992br	391.5			26318
SN1992bs	280.1			18997
SN1992J	183.9			13707
SN1992P	121.5			7880
SN1993ac	202.3			14764
SN1993ae	71.8			5424
SN1993ag	215.4			15002
SN1993ah	119.7			8604
SN1993B	303.4			21190
SN1993O	236.1			15567
SN1994M	96.7			7241
SN1994Q	127.8			8691
SN1994S	66.8			4847
SN1994T	149.9			10715
SN1995ac	185.6			14634
SN1995ak	82.4			6673
SN1996bl	132.7			10446
SN1996C	136.0			9024
Ursa Major	19.8		1088	
