Salammbô	NAM	<unknown>
Chapitre	VER:pres	chapitrer
FESTIN	NOM	festin
Mégara	NAM	<unknown>
faubourg	NOM	faubourg
Carthage	NAM	Carthage
jardins	NOM	jardin
Hamilcar	NAM	Hamilcar
soldats	NOM	soldat
commandés	VER:pper	commander
Sicile	NAM	Sicile
donnaient	VER:impf	donner
grand	ADJ	grand
festin	NOM	festin
célébrer	VER:infi	célébrer
jour	NOM	jour
anniversaire	ADJ	anniversaire
bataille	NOM	bataille
Eryx	NAM	<unknown>
comme	ADV	comme
maître	NOM	maître
absent	ADJ	absent
trouvaient	VER:impf	trouver
nombreux	ADJ	nombreux
mangeaient	VER:impf	manger
buvaient	VER:impf	boire
pleine	ADJ	plein
liberté	NOM	liberté
capitaines	NOM	capitaine
portant	VER:ppre	porter
cothurnes	NOM	cothurne
bronze	NOM	bronze
placés	VER:pper	placer
chemin	NOM	chemin
milieu	NOM	milieu
sous	PRP	sous
voile	NOM	voile
pourpre	NOM	pourpre
franges	NOM	frange
or	NOM	or
étendait	VER:impf	étendre
depuis	PRP	depuis
mur	NOM	mur
écuries	NOM	écurie
jusqu	NOM	<unknown>
première	NUM	premier
terrasse	NOM	terrasse
palais	NOM	palais
commun	NOM	commun
soldats	NOM	soldat
répandu	VER:pper	répandre
sous	PRP	sous
arbres	NOM	arbre
où	PRO:REL	où
distinguait	VER:impf	distinguer
quantité	NOM	quantité
bâtiments	NOM	bâtiment
toit	NOM	toit
plat	ADJ	plat
pressoirs	NOM	pressoir
celliers	NOM	cellier
magasins	NOM	magasin
boulangeries	NOM	boulangerie
arsenaux	NOM	arsenal
cour	NOM	cour
éléphants	NOM	éléphant
fosses	NOM	fosse
bêtes	NOM	bête
féroces	ADJ	féroce
prison	NOM	prison
esclaves	NOM	esclave
figuiers	NOM	figuier
entouraient	VER:impf	entourer
cuisines	NOM	cuisine
bois	NOM	bois
sycomores	NOM	sycomore
prolongeait	VER:impf	prolonger
jusqu	NOM	<unknown>
masses	NOM	masse
verdure	NOM	verdure
où	PRO:REL	où
grenades	NOM	grenade
resplendissaient	VER:impf	resplendir
parmi	PRP	parmi
touffes	NOM	touffe
blanches	ADJ	blanc
cotonniers	NOM	cotonnier
vignes	NOM	vigne
chargées	VER:pper	charger
grappes	NOM	grappe
montaient	VER:impf	monter
branchage	NOM	branchage
pins	NOM	pin
champ	NOM	champ
roses	ADJ	rose
épanouissait	VER:impf	épanouir
sous	PRP	sous
platanes	NOM	platane
place	NOM	place
place	NOM	place
gazons	NOM	gazon
balançaient	VER:impf	balancer
lis	NOM	li|lis
sable	NOM	sable
noir	ADJ	noir
mêlé	VER:pper	mêler
poudre	NOM	poudre
corail	NOM	corail
parsemait	VER:impf	parsemer
sentiers	NOM	sentier
milieu	NOM	milieu
avenue	NOM	avenue
cyprès	NOM	cyprès
faisait	VER:impf	faire
bout	NOM	bout
autre	ADJ	autre
comme	KON	comme
double	ADJ	double
colonnade	NOM	colonnade
obélisques	NOM	obélisque
verts	ADJ	vert
palais	NOM	palais
bâti	VER:pper	bâtir
marbre	NOM	marbre
numidique	ADJ	numidique
tacheté	VER:pper	tacheter
jaune	NOM	jaune
superposait	VER:impf	superposer
tout	ADV	tout
fond	NOM	fond
larges	ADJ	large
assises	NOM	assise
quatre	NUM	quatre
étages	NOM	étage
terrasses	NOM	terrasse
grand	ADJ	grand
escalier	NOM	escalier
droit	ADJ	droit
bois	NOM	bois
ébène	NOM	ébène
portant	VER:ppre	porter
angles	NOM	angle
chaque	PRO:IND	chaque
marche	NOM	marche
proue	NOM	proue
galère	NOM	galère
vaincue	VER:pper	vaincre
portes	NOM	porte
rouges	ADJ	rouge
écartelées	VER:pper	écarteler
croix	NOM	croix
noire	ADJ	noir
grillages	NOM	grillage
airain	NOM	airain
défendaient	VER:impf	défendre
bas	ADV	bas
scorpions	NOM	scorpion
treillis	NOM	treillis
baguettes	NOM	baguette
dorées	ADJ	doré
bouchaient	VER:impf	boucher
haut	ADV	haut
ouvertures	NOM	ouverture
semblait	VER:impf	sembler
soldats	NOM	soldat
opulence	NOM	opulence
farouche	ADJ	farouche
aussi	ADV	aussi
solennel	ADJ	solennel
impénétrable	ADJ	impénétrable
visage	NOM	visage
Hamilcar	NAM	Hamilcar
Conseil	NOM	conseil
désigné	VER:pper	désigner
maison	NOM	maison
tenir	VER:infi	tenir
festin	NOM	festin
convalescents	NOM	convalescent
couchaient	VER:impf	coucher
temple	NOM	temple
Eschmoûn	NOM	<unknown>
mettant	VER:ppre	mettre
marche	NOM	marche
dès	PRP	dès
aurore	NOM	aurore
traînés	VER:pper	traîner
leurs	DET:POS	leur
béquilles	NOM	béquille
chaque	PRO:IND	chaque
minute	NOM	minute
autres	ADJ	autre
arrivaient	VER:impf	arriver
tous	PRO:IND	tout
sentiers	NOM	sentier
débouchait	VER:impf	déboucher
