code,country,PS_FSAFEN,JE_EMPL,JE_LTUR,SC_SNTWS,ES_EDUA,ES_STCS,ES_EDUEX,EQ_WATER,HS_LEB,HS_SFRH,SW_LIFS,PS_REPH,WL_EWLH
AUS,Australie,54,69,1.1,94,83,503,21,91,85,86,7.2,0.6,6.1
AUT,Autriche,82,68,1.2,93,81,493,17,92,84.2,71,7.3,0.5,2.4
BEL,Belgique,47,61,2.1,87,94,501,20,77,84.3,72,6.8,0.8,2.6
CAN,Canada,67,67,0.4,93,93,521,17,87,84.2,88,7,0.7,1.2
CZE,République tchèque,67,67,0.6,97,83,501,18,86,82.2,61,6.9,0.6,2
DNK,Danemark,77,71,1.2,97,94,506,20,92,83.5,67,7.6,0.4,0.1
FIN,Finlande,80,71,1.1,98,82,530,20,97,84.8,68,8.1,0.7,2.1
FRA,France,70,62,2.9,96,86,497,17,79,85.9,65,6.7,0.3,5.2
DEU,Allemagne,69,73,1,89,78,504,18,92,83.7,65,7.3,0.3,1.8
GRC,Grèce,59,47,13.4,79,84,462,19,66,84.2,77,5.6,0.4,2.5
HUN,Hongrie,65,62,1.1,96,78,481,17,79,79.7,55,5.8,0.7,0.9
ISL,Islande,78,75,0.5,98,88,491,20,96,84.7,72,7.7,1.2,5
IRL,Irlande,67,63,1,96,65,508,18,81,84.7,84,7.2,0.1,1.7
ITA,Italie,67,49,5.3,86,87,478,17,82,85.7,70,6.5,0.3,2.2
JPN,Japon,69,71,0.5,93,74,521,16,85,87.5,35,6.3,0.2,2
KOR,Corée,77,57,0,86,41,522,17,84,86.3,30,6.2,0.7,17.4
LUX,Luxembourg,84,64,1.9,91,81,481,15,85,85.2,70,7.4,0.2,0.1
MEX,Mexique,32,45,0.1,76,82,415,16,72,78,64,5.6,5.5,8.6
NLD,Pays-Bas,72,74,1,92,83,508,19,88,83.7,73,7.4,0.4,0.6
NZL,Nouvelle-Zélande,53,72,0.4,95,94,506,18,84,83.9,85,7.4,1,1.3
NOR,Norvège,89,73,0.8,96,59,508,19,98,84.7,73,7.3,0.5,3.3
POL,Pologne,63,61,0.7,95,92,518,18,82,81.9,57,6,0.3,2
PRT,Portugal,75,67,2.4,86,66,494,17,88,84.8,45,5.6,0.4,1.4
SVK,République slovaque,67,62,3,95,85,475,16,80,81.2,61,6.6,0.6,0.5
ESP,Espagne,75,57,6.1,94,88,510,18,77,86.7,73,6.6,0.5,0.3
SWE,Suède,68,74,1,93,38,502,20,97,84.8,73,7.3,0.5,20.1
CHE,Suisse,81,76,1.8,95,83,467,17,95,85.8,79,7.5,0.3,6.3
TUR,Türkiye,45,30,4.9,88,92,504,18,60,81.3,62,5.4,0.5,6.6
GBR,Royaume-Uni,77,72,0.7,96,60,498,17,84,83.1,72,6.9,0.1,3.6
USA,États-Unis,69,62,0.4,94,68,403,18,86,81.4,87,7.1,2.5,5
BRA,Brésil,34,47,1,80,94,439,16,71,79.6,56,6,3.3,1.4
CHL,Chili,30,47,0.2,88,89,530,18,60,83.4,54,6.1,0.7,6.8
EST,Estonie,71,72,1.7,97,93,477,18,86,83,72,6.6,0.6,1
ISR,Israël,77,65,1.1,96,96,493,16,79,84.8,43,7.2,0.7,0.1
LVA,Lettonie,61,70,2.4,94,89,485,19,83,80.1,38,6.2,1.9,2.9
RUS,Russie,55,65,20.8,89,48,512,17,59,78.2,64,5.6,2.2,10.4
SVN,Slovénie,85,68,,95,,,19,90,84.5,,6.4,0.3,
ZAF,Afrique du Sud,35,33,,89,,,,73,67.7,,5,3.6,
COL,Colombie,45,45,1.6,83,61,402,14,83,79.9,78,5.7,4.1,17.1
LTU,Lituanie,56,71,2.4,88,96,488,19,81,81.2,42,6.2,1,0.8
